="Filtros Utilizados"
="Vínculo";="TODOS";="Unidade";="PREFEITURA MUNICIPAL DE ARCOS"
="Mês";="01/2025";="Apresentar Por";="CARGOS"
="Gestão de Pessoas / Cargo"
="Cargo";="Servidores";="Salário Base";="Vencimentos Totais";="Descontos";="Líquido"
="PROF ED BASICA (APOIO)";="18";="R$ 71.154,02";="R$ 113.512,78";="R$ 52.677,46";="R$ 60.835,32"
="PROF. E.B. AEE-S.RECURSOS";="4";="R$ 14.966,96";="R$ 24.959,62";="R$ 10.167,93";="R$ 14.791,69"
="PROFISSIONAL DE ED. FISICA";="3";="R$ 9.313,85";="R$ 11.394,73";="R$ 1.117,26";="R$ 10.277,47"
="Psicólogo";="5";="R$ 21.345,94";="R$ 30.270,16";="R$ 10.563,32";="R$ 19.706,84"
="Sec. Meio Ambiente Agricultura";="1";="R$ 9.306,98";="R$ 8.996,75";="R$ 2.268,03";="R$ 6.728,72"
="Secretario De Governo";="1";="R$ 9.306,98";="R$ 8.996,75";="R$ 2.215,89";="R$ 6.780,86"
="Secretario Des.Int.Social";="1";="R$ 9.306,98";="R$ 8.996,75";="R$ 2.215,89";="R$ 6.780,86"
="Secretario Escolar";="29";="R$ 57.754,99";="R$ 110.300,34";="R$ 34.476,50";="R$ 75.823,84"
="Secretário M. Cultura, esporte";="1";="R$ 9.306,98";="R$ 8.996,75";="R$ 2.215,89";="R$ 6.780,86"
="Secretario M. Educação";="1";="R$ 97,31";="R$ 9.094,06";="R$ 2.774,41";="R$ 6.319,65"
="Secretario M. Obras E Servicos";="1";="R$ 9.306,98";="R$ 8.996,75";="R$ 2.268,03";="R$ 6.728,72"
="Secretario M.De Administracao";="1";="R$ 9.306,98";="R$ 8.996,75";="R$ 2.268,03";="R$ 6.728,72"
="Secretario M.Plan.Sustentável";="2";="R$ 18.613,96";="R$ 8.996,75";="R$ 2.268,03";="R$ 6.728,72"
="Secretario Mun. de Fazenda";="1";="R$ 9.306,98";="R$ 8.996,75";="R$ 2.268,03";="R$ 6.728,72"
="Secretario Municipal De Saude";="1";="R$ 9.306,98";="R$ 8.996,75";="R$ 2.163,75";="R$ 6.833,00"
="Supervisor Pedagogico";="25";="R$ 84.970,27";="R$ 128.955,47";="R$ 56.200,20";="R$ 72.755,27"
="Tec.Esporte Especializado";="4";="R$ 9.686,46";="R$ 23.859,43";="R$ 7.129,02";="R$ 16.730,41"
